date,time,addr,text
10/23/19,2:40 AM,3600 Ludlow St Philadelphia,Stolen Auto
10/23/19,2:09 PM,4125 Chestnut St Philadelphia,Book taken
10/23/19,2:34 PM,3400 Spruce St Philadelphia,Laptop taken
10/23/19,5:02 PM,4000 Market St Philadelphia,Male grabbed Septa Pass from complainant
10/24/19,2:37 AM,4030 Irving St Philadelphia,Window broken
10/24/19,3:07 AM,3300 Market St Philadelphia,Wallet taken from complainant’s pocket
10/24/19,9:34 AM,3401 Walnut St Philadelphia,Unsecured wallet taken
10/24/19,7:54 PM,3300 Smith Walk Philadelphia,Bike taken/Arrest
10/24/19,11:09 PM,3929 Sansom St Philadelphia,Phone taken from bar counter
10/25/19,7:14 AM,3330 Walnut ST Philadelphia,Defiant trespass/Arrest
10/25/19,9:04 AM,4209 Spruce St Philadelphia,Ex-husband stalking complainant
10/25/19,9:33 AM,4000 Baltimore Ave Philadelphia,Catalytic converter stolen
10/25/19,7:35 PM,4100 Spruce St Philadelphia,Intoxicated male/Arrest
10/26/19,12:17 AM,3730 Walnut St Philadelphia,Unsecured bike taken
10/26/19,2:04 AM,4200 Spruce St Philadelphia,Intoxicated female/Arrest
10/26/19,9:55 PM,3900 Market St Philadelphia,Male wanted on warrant/Arrest
10/27/19,12:37 PM,51 N 39th St Philadelphia,Complainant struck by co-worker
10/21/19,12:56 PM,Walnut/Farragut Sts Philadelphia,Aggravated assault
10/22/19,5:34 PM,4100 Pine St Philadelphia,Indecent assault
10/23/19,5:01 PM,4000 Market St Philadelphia,Purse snatch
10/23/19,9:10 PM,46th/Larchwood Philadelphia,Robbery
10/25/19,9:10 AM,4209 Spruce St Philadelphia,Assault
10/26/19,5:36 PM,4445 Chestnut St Philadelphia,Robbery
10/27/19,8:48 PM,4441 Chestnut St Philadelphia,Domestic assault
10/8/19,11:56 AM,3711 Market St Philadelphia,Unsecured bike taken
10/8/19,1:51 PM,433 University Ave Philadelphia,Unsecured laptop taken
10/8/19,2:55 PM,3600 Walnut St Philadelphia,Offender sprayed complainant with pepper spray
