latitude,longitude,name,desc,color,source,precision
39.950762,-75.203294,400 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953049,-75.201755,3901 Locust Walk Philadelphia,"3901 Locust Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,4000 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954598,-75.192726,3411 Chestnut St Philadelphia,"3411 Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952714,-75.193933,3420 Walnut St Philadelphia,"3420 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954598,-75.192726,3411 Chestnut St Philadelphia,"3411 Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.938106,-75.201984,255 S 36th St Philadelphia,"South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.938106,-75.201984,120 S 36th St Philadelphia,"South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.950762,-75.203294,400 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952714,-75.193933,3420 Walnut St Philadelphia,"3420 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.939484,-75.194908,240 S 31st St Philadelphia,"South 31st Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.950762,-75.203294,400 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951822,-75.190194,209 S 33rd St Philadelphia,"South 33rd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3730 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953585,-75.173316,3700 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,3817 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953497,-75.218644,48th & Spruce St Philadelphia,"4810 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953585,-75.173316,4548 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,47th & Spruce St Philadelphia,US,,MapQuest Open,country
39.928846,-75.238403,4501 Chester Ave Philadelphia,"Chester Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,47th & Chestnut St Philadelphia,US,,MapQuest Open,country
39.78373,-100.445882,48th & Locust St Philadelphia,US,,MapQuest Open,country
39.951882,-75.178858,4546 Sansom St Philadelphia,"Sansom Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
