10/15/19,2:11 a.m,400 S 40th St Philadelphia,Item removed from delivered package
10/15/19,9:03 a.m,3901 Locust Walk Philadelphia,Unsecured bike taken
10/15/19,11:47 a.m,4000 Walnut St Philadelphia,Backpack and contents taken
10/15/19,4:40 p.m,3411 Chestnut St Philadelphia,Gold ring taken from room
10/16/19,1:37 a.m,51 N 39th St Philadelphia,Property taken from construction site/Arrest
10/16/19,1:15 p.m,3420 Walnut St Philadelphia,Unattended wallet taken
10/16/19,1:49 p.m,3411 Chestnut St Philadelphia,Checks taken
10/16/19,10:36 p.m,255 S 36th St Philadelphia,Secured bike taken
10/17/19,9:31 a.m,120 S 36th St Philadelphia,Clothing stolen
10/17/19,11:23 a.m,400 S 40th St Philadelphia,Unsecured package taken
10/17/19,5:09 p.m,3420 Walnut St Philadelphia,Laptop taken from 5th floor
10/17/19,8:26 p.m,240 S 31st St Philadelphia,Two computers removed from vehicle
10/18/19,3:08 p.m,400 S 40th St Philadelphia,Package taken from lobby
10/19/19,6:48 a.m,209 S 33rd St Philadelphia,Male wanted on warrant/arrest
10/19/19,3:35 p.m,3730 Walnut St Philadelphia,Money deducted from debit card without permission
10/20/19,2:28 a.m,3700 Market St Philadelphia,Intoxicated driver arrested
10/20/19,5:22 a.m,51 N 39th St Philadelphia,Unsecured ID and credit card taken
10/20/19,1:07 p.m,3817 Walnut St Philadelphia,Call phone and debit card stolen
10/14/19,7:36 a.m,48th & Spruce Sts Philadelphia,Robbery
10/14/19,7:05 p.m,4548 Market St Philadelphia,Assault
10/17/19,5:16 p.m,47th & Spruce Sts Philadelphia,Assault
10/18/19,8:45 a.m,4501 Chester Ave Philadelphia,Assault
10/19/19,12:24 p.m,47th & Chestnut Sts Philadelphia,Robbery
10/19/19,9:52 p.m,48th & Locust Sts Philadelphia,Assault
10/19/19,10:51 p.m,4546 Sansom St Philadelphia,Domestic Assault
09/17/19, 9:55 AM, 3925 Walnut St Merchandise taken without payment/Arrest Philadelphia,
09/17/19, 12:35 PM, 3956 Pine St Philadelphia, Unauthorized bank account initialized
09/17/19, 3:41 PM, 3205 Walnut St Philadelphia, Penn Facilities truck stolen
09/17/19, 7:22 PM, 3000 Chestnut St Philadelphia, Failure to appear/Arrest
09/18/19, 4:20 PM, 3402 Sansom St Philadelphia, Offender failed to pay for services rendered/Arrest
09/18/19, 6:48 PM, 3720 Walnut St Philadelphia, Bike theft/Arrest
09/18/19, 7:25 PM, 3417 Spruce St Philadelphia, Secured bike taken from rack
09/18/19, 10:10 PM, 4000 Locust Walk Philadelphia, Warrant/Arrest
09/19/19, 9:48 AM, 3400 Spruce St Philadelphia, Smoking violation on hospital grounds
09/19/19, 12:09 PM, 3924 Delancey Philadelphia, Secured bike stolen
09/19/19, 6:37 PM, 215 S 33rd St Philadelphia, Unsecured cash stolen
09/19/19, 7:11 PM, 3925 Walnut St Philadelphia, Retail theft/Arrest
09/20/19, 9:39 AM, 3501 Sansom St Philadelphia, Unsecured wallet taken from purse
09/20/19, 7:05 PM, 3900 Walnut St Philadelphia, Unsecured cash stolen
09/21/19, 5:15 PM, 3420 Walnut St Philadelphia, Unsecured laptop stolen
09/16/19, 8:32 PM, 4809 Walnut St Philadelphia, Assault
09/10/19, 9:06 AM, 51 N 39th St Philadelphia, Unauthorized prescriptions written
09/10/19, 9:23 AM, 202 S 36th St Philadelphia, Project and MAC 220 taken from room
09/11/19, 6:14 PM, 305 S 41st St Philadelphia, Unsecured package taken from porch/Arrest
09/11/19, 7:30 PM, 3850 Spruce St Philadelphia, Unsecured backpack taken from hallway
09/12/19, 12:01 AM, 4247 Locust St Philadelphia, Domestic assault by offender/Arrest
09/12/19, 10:17 AM, 3800 Spruce St Philadelphia, Two desktops taken
09/12/19, 1:09 PM, 4024 Ludlow St Philadelphia, Unauthorized person in residence
09/12/19, 3:09 PM, 3730 Walnut St Philadelphia, Secured bike taken from bike rack
09/13/19, 8:26 AM, 51 N 39th St Philadelphia, Cash stolen from automobile
09/13/19, 9:22 AM, 120 S 30th St Philadelphia, Offender cited for writing on mural
09/13/19, 1:16 PM, 3730 Walnut St Philadelphia, Secured bike stolen
09/14/19, 6:43 AM, 3417 Spruce St Philadelphia, Bait bike theft/Arrest
09/14/19, 4:53 PM, 3100 Walnut St Philadelphia, Tarp vandalized with graffiti
09/14/19, 9:38 PM, 2929 Walnut St Philadelphia, Unauthorized charges on credit card
09/15/19, 8:11 AM, 3100 Ludlow St Philadelphia, Aggravated assault by male/Arrest
09/15/19, 4:00 PM, 211 S 42nd St Philadelphia, Computer taken from drawer in room
09/10/19, 4:37 PM, 4040 Baltimore Ave Philadelphia, Indecent Assault
09/12/19, 12:27 AM, 4247 Locust St Philadelphia, Domestic Assault/Arrest
09/15/19, 1:31 AM, 3700 Spruce St Philadelphia, Domestic Assault
09/15/19, 8:38 AM, 3100 Ludlow St Philadelphia, Aggravated Assault/Arrest
09/15/19, 11:03 PM, 43rd/Chester Ave Philadelphia, Robbery
08/20/19, 4:19 PM, 4001 Walnut St Philadelphia, Complainant assaulted by partner
08/20/19, 8:05 PM, 3001 Walnut St Philadelphia, Vehicle stolen
08/21/19, 9:40 AM, 3600 Civic Center Blvd Philadelphia, Complainant threatened by terminated employee
08/21/19, 12:14 PM, 3700 Chestnut St Philadelphia, Complainant assaulted by known female
08/21/19, 1:15 PM, 3600 Market St Philadelphia, Funds transferred to unauthorized account
08/21/19, 2:20 PM, 2929 Walnut St Philadelphia, Unauthorized charges made
08/21/19, 2:20 PM, 3620 Hamilton Walk Philadelphia, Currency taken from jar
08/22/19, 1:12 PM, 200 S 40th St Philadelphia, Wallet taken from purse
08/22/19, 3:10 PM, 3200 Walnut St Philadelphia, Wallet taken
08/22/19, 3:42 PM, 200 S 36th St Philadelphia, Generator taken from construction site
08/22/19, 8:48 PM, 3925 Walnut St Philadelphia, Unsecured purse taken
08/23/19, 10:07 AM, 4000 Market St Philadelphia, Citation issued for possession of marijuana
08/23/19, 1:24 PM, 3907 Walnut St Philadelphia, Counterfeiting by male/Arrest
08/23/19, 1:45 PM, 3409 Walnut St Philadelphia, Merchandise taken without payment
08/23/19, 9:54 PM, 4001 Walnut St Philadelphia, Bottle thrown at officer/Arrest
08/24/19, 2:13 AM, 4000 Locust Walk Philadelphia, Complainant assaulted by group of males
08/24/19, 9:37 PM, 3925 Pine St Philadelphia, Property removed from bedroom
08/25/19, 11:27 AM, 4033 Chancellor St Philadelphia, Unsecured duffle bag and bike taken from residence
08/25/19, 12:00 PM, 3800 Locust Walk Philadelphia, Confidential sex offense
08/25/19, 2:37 PM, 4033 Chancellor St Philadelphia, Computers taken from residence recovered on street
08/20/19, 4:24 PM, 4001 Walnut St Philadelphia, Domestic Assault
08/21/19, 12:40 PM, 3700 Chestnut St Philadelphia, Aggravated Assault
08/22/19, 12:12 PM, 42nd/Woodland Ave Philadelphia, Aggravated Assault/Arrest
